p_nombre_barrio,p_Población edad de 0 a 14 ,p_Población edad de 15 a 29,p_Población edad de 30 a 44 ,p_Población edad de 45 a 64 ,p_Población edad de 65 a 79 ,p_Población edad de 80 y + ,p_Tasa absoluta paro registrado,p_Población sin estudios,p_ Población con estudios superiores,p_rankingvulnerabilidad
Palacio,0.080879413724184,0.142660448589829,0.286564512547191,0.300732844770153,0.124761270264268,0.064401510104375,0.0821,0.029839845584016,0.411341228024414,0.007459395
Embajadores,0.085615057136455,0.158323997311226,0.34380461572933,0.2684293076406,0.090499663903204,0.053327358279184,0.0894,0.048591865283607,0.343283976033996,0.008192846
Cortes,0.067989744563669,0.148134080334251,0.311176526445732,0.303959737916627,0.111195517994492,0.057544392745228,0.0688,0.023260893305668,0.454297258927596,0.007343906
Justicia,0.082157075642418,0.157739172397153,0.307877910483774,0.288273615635179,0.10519966220292,0.058752563638557,0.0663,0.018349928876245,0.481436699857752,0.007273462
Universidad,0.077709810013917,0.161828009191831,0.323558921578147,0.271709227433084,0.105738421205942,0.059455610577079,0.0706,0.02487317331718,0.417619444234118,0.007502037
Sol,0.066796278294681,0.170948479377864,0.305790862380225,0.284821552562144,0.116928204416053,0.054714622969032,79,0.022522522522523,0.400096525096525,0.007601591
Imperial,0.114793784937717,0.134953122936749,0.230687970421233,0.309564681544082,0.135349267133237,0.074651173026982,0.0683,0.024692033944703,0.366767040788393,0.006482143
Acacias,0.102963184675247,0.151233980027754,0.224238796223232,0.300835351419009,0.152404016217246,0.068324671437512,0.0657,0.025738638277802,0.378162584644409,0.006515564
Chopera,0.101974847214506,0.13465326531643,0.25657861508157,0.274761351583413,0.140562654679529,0.091469266124552,0.0787,0.040139509270024,0.255889371596402,0.00725383
Legazpi,0.190733430292957,0.133908165385415,0.288853106170787,0.303241221691253,0.060980677332225,0.022283399127363,0.0494,0.013235505682636,0.458135520069055,0.005946916
Delicias,0.138718014050158,0.141265970225312,0.262548684162632,0.289375022749609,0.11083609361919,0.057256215193099,0.0642,0.024963769809733,0.362255154036744,0.006593065
Palos de Moguer,0.093793692713997,0.147001708870592,0.26906944228678,0.28499300916576,0.126417585831909,0.078724561130962,0.0721,0.033218572624919,0.342979436121708,0.007106183
Atocha,0.201716738197425,0.15793991416309,0.200858369098712,0.341630901287554,0.072103004291846,0.025751072961373,0.0796,0.02377972465582,0.270337922403004,0.006921118
Pacífico,0.102229100324395,0.144489747328949,0.215975715008482,0.292074640635695,0.15743579060147,0.087795006101009,61,0.023472469886095,0.381345754940136,0.006185095
Adelfas,0.128754428999727,0.13426001635323,0.242027800490597,0.287980376124285,0.142382120468793,0.064595257563369,0.0673,0.027108640450209,0.379109189485965,0.006152902
Estrella,0.123418538600568,0.126000516395559,0.193820466477322,0.252087098717618,0.212798003270505,0.091875376538428,0.0521,0.018034993270525,0.44678331090175,0.005701563
Ibiza,0.117641579731744,0.134407600596125,0.224105812220566,0.274869597615499,0.151639344262295,0.097336065573771,0.0573,0.021746654360868,0.442316566682049,0.006098272
Jerónimos,0.115618374558304,0.120424028268551,0.210459363957597,0.28791519434629,0.161837455830389,0.103745583038869,0.0415,0.016940363007779,0.484874675885912,0.005577574
Niño Jesús,0.140183246073298,0.141361256544503,0.186780104712042,0.267604712041885,0.178599476439791,0.085471204188482,0.0481,0.011270491803279,0.527663934426229,0.005472919
Recoletos,0.112909367859863,0.162033511043412,0.215536938309216,0.282368621477532,0.151053566895151,0.076097994414826,0.0389,0.008593936500358,0.576112039468449,0.005441394
Goya,0.10339818943386,0.160890420213485,0.228786650452642,0.271720037832725,0.149743277935414,0.085461424131874,0.0524,0.017629734102128,0.492222176131414,0.00586878
Fuente del Berro,0.104834433894057,0.141080638164554,0.240661300428978,0.267171157275751,0.152503976478527,0.093748493758134,0.0605,0.022344730514339,0.394229077473462,0.006253336
Guindalera,0.108049152912092,0.148937201580261,0.227150439904021,0.26915339683463,0.142999103225963,0.103710705543033,0.0585,0.020078398515814,0.443280768425147,0.006042229
Lista,0.107654132468028,0.167589234586753,0.231103263981676,0.254008398549341,0.14931284596297,0.090332124451231,0.0545,0.015184767779821,0.500919390236669,0.005931735
Castellana,0.110645580077895,0.182638970848578,0.214976985719344,0.261418623864039,0.150773043786144,0.079546795704001,0.0375,0.013011152416357,0.549814126394052,0.005624665
El Viso,0.13432487605716,0.168387284922718,0.207465733449985,0.275123942840478,0.135666375036454,0.079031787693205,0.0341,0.01409953509641,0.55895129944364,0.005305531
Prosperidad,0.107989704835442,0.141339466622857,0.235885219867477,0.268167132139532,0.165352390340069,0.081266086194622,0.0639,0.018785788433848,0.416368080902789,0.006251852
Ciudad Jardín,0.1175420565803,0.141018012657543,0.239141018012658,0.272191269540758,0.145832206415319,0.084275436793422,0.0632,0.020268456375839,0.416442953020134,0.006239065
Hispanoamérica,0.141905460109011,0.133649953781914,0.210021355943008,0.268351767443343,0.150033468268894,0.09603799445383,0.0488,0.013512958475377,0.517271121698772,0.005571773
Nueva España,0.163006205094709,0.144186806009144,0.22305682560418,0.260409862834749,0.134552580013063,0.074787720444154,0.0375,0.010387622327921,0.577770488218249,0.005370611
Castilla,0.124770315926738,0.171122043743702,0.205441289787209,0.275383794677257,0.134965325114101,0.088317230750993,0.0509,0.018504474442591,0.50250265433035,0.005913401
Bellas Vistas,0.114991304347826,0.170817391304348,0.264173913043478,0.264521739130435,0.117669565217391,0.067826086956522,0.0727,0.038584645065112,0.261674047441575,0.0081911
Cuatro Caminos,0.103082851637765,0.157383079348397,0.250160565189467,0.25976528288667,0.143457698370993,0.086150522566708,0.0614,0.025102660239243,0.418568112836993,0.007173168
Castillejos,0.093748465353828,0.146933163089918,0.257967882924913,0.261749251092668,0.148946618867554,0.090654618671119,0.06,0.022077004592017,0.425055928411633,0.007113526
Almenara,0.114803086392222,0.165782079300656,0.240934837875206,0.275991258195442,0.107533116274921,0.094955621961554,0.1069,0.070808433870786,0.22155823655429,0.008719827
Valdeacederas,0.126784247780689,0.165539087247272,0.285010363302178,0.274920808728638,0.08912439873294,0.058621094208283,0.0793,0.05732674749289,0.207304295764107,0.00837946
Berruguete,0.121667750325098,0.168481794538362,0.270196684005202,0.271700260078023,0.101592977893368,0.066360533159948,0.0736,0.042619220026896,0.227164580531706,0.008436213
