input.nombre_barrio,input.va_Densidad (hab./Ha.) ,input.va_Tasa bruta de natalidad,input.va_Renta neta media anual de los hogares,input.va_Valor catastral medio de los bienes inmuebles,input.va_Superficie media de la vivienda (m2) en transacción
Palacio,153.17,6.86458054738344,34675.8479134597,124121.57,70.79
Embajadores,431.74,7.55097468070804,25999.8327430822,86821.52,56.08
Cortes,177.93,7.03021090632719,34952.6798046567,147344.7,91.92
Justicia,224.2,7.82957028404953,40314.882263767,158945.04,93.19
Universidad,325.91,7.69405577378827,30701.6520392922,106883.32,66.19
Sol,161.71,4.95117590427727,30935.8043113426,171610.78,97.13
Imperial,234.78,7.67111209081891,41950.8120458648,87446.56,79.87
Acacias,342.37,7.627765064836,44669.1824389435,83248.38,72.88
Chopera,348.7,9.55438161918965,31933.91199662,79471.76,68.67
Legazpi,136.11,13.4066509557476,48935.036576627,90178.67,94.84
Delicias,260.49,10.0116924875767,39647.6886525592,83583.65,82.61
Palos de Moguer,397.07,7.59819201995012,33938.3690529766,81739.38,65.94
Atocha,15.84,17.5901495162709,37939.2847228916,127649.25,74.03
Pacífico,443.14,7.64539640041648,41948.887029967,95321.7,70.37
Adelfas,286.29,10.4126705759851,45842.9286514838,89195.73,85.45
Estrella,226.6,7.19812073015668,58249.1444892188,124451.81,110.06
Ibiza,436.45,8.5008991335622,45561.1376637797,160287.21,88.66
Jerónimos,37.11,11.0419026047565,84955.302447994,329936.75,161.77
Niño Jesús,237.53,8.01182071909375,69100.1609099165,205637.32,113.96
Recoletos,180.45,9.52990086344739,84705.7178808273,261448.85,139.71
Goya,384.32,7.9487745639214,48814.7378325123,157508.54,91.12
Fuente del Berro,243.34,7.6454079163844,40503.5590024741,109738.52,77.98
Guindalera,257.42,7.56891373879923,46340.8740988493,114996.92,86.32
Lista,402.83,8.96602977489032,47375.4245291166,152904.34,90.83
Castellana,219.11,9.06895942523997,82811.1790116372,261652.21,127.95
El Viso,100.31,9.99824592176811,103573.082656006,315478.28,155.25
Prosperidad,351.15,9.97094104199088,43701.5220015745,101729.75,75.39
Ciudad Jardín,242.51,9.45498016627724,43706.9826198041,114722.5,79.11
Hispanoamérica,183.2,9.86905142127116,62635.3503539972,156270.15,105.7
Nueva España,136.84,10.6571205201004,80248.3920255963,201904.31,119.4
Castilla,78.06,9.56108637843975,54869.9650135588,106610.94,108.89
Bellas Vistas,402,8.79020819835753,31125.2299026959,78564.54,61.69
Cuatro Caminos,289.05,9.00398873768184,43306.0232761758,119218.39,84.47
Castillejos,288.97,9.6666253563019,45025.3268859599,114667.38,87.12
Almenara,224.35,8.51293831497872,28746.7033662579,82364.88,82.75
Valdeacederas,219.79,10.0817170424338,28242.0523623145,56778.23,61.16
Berruguete,405.36,9.1574342831446,28945.5254772727,70355.9,60.44
Gaztambide,447.52,7.49911253106141,42607.6365402033,112274.14,85.69
Arapiles,420.85,7.75034010801006,42210.1517765152,120510.75,82.71
Trafalgar,400.78,8.56461183955627,41126.2198025844,116258.33,85.71
Almagro,211.09,9.26652657163835,68786.7092139108,183975.01,136.35
Rios Rosas,277.31,10.0980100980101,47955.2791667397,121443.52,93.64
Vallehermoso,187.48,7.63339610797238,59458.5754002255,177760.6,110.31
El Pardo,0.18,7.59124087591241,39061.7270865533,94498.3,95.56
Fuentelareina,23.39,7.46500777604977,98155.7929422895,172607.26,160.73
Peñagrande,153.82,7.84897489681305,45508.0580730877,100133.82,100.53
Pilar,338.13,7.59504689778242,33746.0138188456,75022.46,64.94
La Paz,156.78,7.98982037700115,58457.3752869185,96815.18,116.48
Valverde,68.97,14.3827079506691,42537.2500960052,84332.83,84.83
Mirasierra,45.84,11.8551949909417,78328.1005562156,137514.56,113.62
El Goloso,6.78,18.2106096595408,57441.3442330211,81519.53,114.53
Casa de Campo,7.39,7.14812944330057,41436.0838529902,98568.69,81.28
Argüelles,316.71,7.63725142415959,53460.6435623358,202053.54,105.76
Ciudad Universitaria,11.3,6.3452566096423,67390.492096167,154344.74,107.13
Valdezarza,210.51,7.97763534706123,34996.9307976869,81625.61,79.83
Valdemarín,19.86,11.254143220535,112320.748093875,200754.89,176.08
El Plantío,7.71,8.82352941176471,101419.171710362,386518.19,182.48
Aravaca,44.82,8.98798387563408,77060.7556397454,147611.65,132.6
Cármenes,133.07,8.35548803646031,29540.9576941288,64231.31,72.86
Puerta del Ángel,301,8.37348154800189,27913.6339112542,69655.86,67.73
Lucero,211.36,7.06643865624603,30075.7055536143,63152.23,68.31
Aluche,231.46,7.00856263521955,31116.5071197473,58979.22,71.17
Campamento,20.65,8.26380611839491,31913.206846746,63522.08,77.29
Cuatro Vientos,10.43,14.55525606469,35197.13451,60658.68,96.44
Águilas,141.57,6.74172717562787,29910.4549361744,55535.46,73.64
Comillas,334.01,8.16473825473081,27579.2279443115,58639.77,66.47
Opañel,293.44,9.0524390432936,28031.4791042033,54050.37,68.53
San Isidro,202.99,8.78316559926807,26282.7243978732,50492.96,67.16
Vista Alegre,283.21,7.72434175174637,27788.2132821128,53480.84,65.26
Puerta Bonita,210.94,8.54700854700855,25725.1872554806,50230.98,66.88
