PK	NOMBRE	DESCRIPCION-ENTIDAD	HORARIO	EQUIPAMIENTO	TRANSPORTE	DESCRIPCION	ACCESIBILIDAD	CONTENT-URL	NOMBRE-VIA	CLASE-VIAL	TIPO-NUM	NUM	PLANTA	PUERTA	ESCALERAS	ORIENTACION	LOCALIDAD	PROVINCIA	CODIGO-POSTAL	BARRIO	DISTRITO	COORDENADA-X	COORDENADA-Y	LATITUD	LONGITUD	TELEFONO	FAX	EMAIL	TIPO	
7933	Consulado de Argentina				Metro: Alonso Mart�nez (L�neas 4, 5 y 10). Bus: 7, 21, C03, 37, 3, 14, 150, 27, 45.		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=654df3216571c010VgnVCM1000000b205a0aRCRD	FERNANDO EL SANTO	CALLE	V	15	BAJA				MADRID	MADRID	28010	ALMAGRO	CHAMBERI	441245	4475517	40.42821624776458	-3.6926659313220473	914 025 115	913 091 996	consulado-madrid@portalargentino.net	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
10197947	Consulado de Belice				Metro: Concha Espina (l�nea 9), Colombia (l�neas 8 y 9)  Bus: 51, 7, 120, 43.  Bicimad: Estaci�n 148 (calle Serrano, 210).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38bff39b5c598510VgnVCM2000001f4a900aRCRD	TALAVERA	CALLE	V	9					MADRID	MADRID	28016	HISPANOAMERICA	CHAMARTIN	442258	4478302	40.453375787625184	-3.6809775442454438	913 520 419	917 157 638	alvarezdetoledo@terra.es	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
21112	Consulado de Bolivia				Metro: Cruz del Rayo (l�nea 9), Prosperidad (l�nea 4), Rep�blica Argentina (l�nea 6).  Bus: 29, 52, 73, 9, C2.  Bicimad: Estaci�n 146 (calle Mar�a Francisca, 1).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11e87d448b51c010VgnVCM2000000c205a0aRCRD	AVIADOR LINDBERGH	CALLE	V	3					MADRID	MADRID	28002	EL VISO	CHAMARTIN	442360	4477088	40.44244658703542	-3.6796645119265317	913 265 028	913 265 016	colivian-madrid@rree.gov.bo	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
64260	Consulado de Brasil				Metro: Serrano (l�nea 4), Col�n (l�nea 4).  Bus: 21, 53, 1, 19, 51, 74, 9, 14, 150, 27, 45, 5.  Cercan�as Renfe: Recoletos (l�neas C1, C2, C7, C8, C10).  Bicimad: Estaciones 93 (calle Goya, 1) y 106 a y b (calle Serrano, 34).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3a97589f451c010VgnVCM1000000b205a0aRCRD	GOYA	CALLE	V	5				5-7 pasaje	MADRID	MADRID	28001	RECOLETOS	SALAMANCA	441675	4475445	40.42571641206772	-3.688867957275151	917 021 220	913 101 630	consular.cgmadri@itamaraty.gov.br	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
10197938	Consulado de B�lgica				Metro: Serrano (l�nea 4), Col�n (l�nea 4).  Bus: 14, 150, 27, 45, 5, 1, 19, 51, 74.  Bicimad: Estaciones 104 (paseo de la Castellana, 4) y 105 (calle Serrano, 54).  Aparcamiento: Serrano II (39), calle Serrano entre Ortega y Gasset y Hermosilla.		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c20ff39b5c598510VgnVCM2000001f4a900aRCRD	CASTELLANA	PASEO	V	18	6	Izquierda			MADRID	MADRID	28046	RECOLETOS	SALAMANCA	441556	4475560	40.428625519984514	-3.6890037404933405	915 776 300	914 318 166	madrid@diplobel.fed.be	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
7934	Consulado de Chile				Metro: Rub�n Dar�o (l�nea 5), Iglesia (l�nea 1), Gregorio Mara��n (l�neas 7, 10).  Bus: 147, 40, 16, 5, 61.  Bicimad: Estaci�n 125 (calle Fern�ndez de la Hoz, 29).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a6df3216571c010VgnVCM1000000b205a0aRCRD	RAFAEL CALVO	CALLE	V	18	5				MADRID	MADRID	28010	ALMAGRO	CHAMBERI	441120	4476146	40.43387373574068	-3.6941977264344406	913 190 763 / 913 199 559	913 193 278		/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
7935	Consulado de Colombia				Metro: Banco de Espa�a (l�nea 2), Retiro (linea 2).  Bus: 19, 203, E1, 14, 27, 37, 45.  Cercan�as Renfe: Recoletos (l�neas C1, C2, C7, C8 y C10).  Bicimad: Estaciones 86 (Cibeles, paseo del Prado, 1), 65 (calle Antonio Maura, 15), 60 (plaza de la Independencia, 6).  Aparcamiento: Montalb�n (49), calle Montalb�n (entre calle Alfonso XI y Paseo del Prado).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=af8df3216571c010VgnVCM1000000b205a0aRCRD	ALFONSO XI	CALLE	V	6					MADRID	MADRID	28014	LOS JERONIMOS	RETIRO	441408	4474455	40.418660732315	-3.690646590927509	917 452 590	917 450 471	cmadrid@cancilleria.gov.co	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
169901	Consulado de Costa Rica				Metro: Nuevos Ministerios (l�nea 6, 8, 10), Gregorio Mara��n (l�nea 7, 10), Rios Rosas (l�nea 1).  Bus: 12, 45, 5.  Cercan�as Renfe: Nuevos Ministerios (C1, C2, C3, C4, C7, C8, C10).  Bicimad: Estaci�n 134 (calle Mar�a de Guzm�n, 58).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0b6085f5181c010VgnVCM1000000b205a0aRCRD	RIOS ROSAS	CALLE	V	54	Bajo	Derecha			MADRID	MADRID	28003	RIOS ROSAS	CHAMBERI	441017	4476999	40.441550649362455	-3.695491196074582	913 459 622 / 913 459 521	913 533 709	consulado@embcr.org	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
7936	Consulado de Cuba				Metro: P�o XII (l�nea 9), Colombia (l�neas 8 y 9).  Bus: 14, 150.		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32adf3216571c010VgnVCM1000000b205a0aRCRD	LA HABANA	PASEO	V	194				Entrada por calle Macarena	MADRID	MADRID	28036	NUEVA ESPA�A	CHAMARTIN	442323	4479260	40.46201039787292	-3.680298066003204		914 021 948		/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
7874	Consulado de Ecuador				Bus: 52.		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e6ef3216571c010VgnVCM1000000b205a0aRCRD	COMANDANTE AZCARRAGA	CALLE	V	2				sin n�mero	MADRID	MADRID	28016	NUEVA ESPA�A	CHAMARTIN	443260	4479185	40.46140515289631	-3.6692400297309793	913 430 250	913 454 523	consuladoecuador@consuldormadrid.org	/contenido/entidadesYorganismos/OrganismosInternacionales/EmbajadasConsulados	 
