PK	NOMBRE	DESCRIPCION-ENTIDAD	HORARIO	EQUIPAMIENTO	TRANSPORTE	DESCRIPCION	ACCESIBILIDAD	CONTENT-URL	NOMBRE-VIA	CLASE-VIAL	TIPO-NUM	NUM	PLANTA	PUERTA	ESCALERAS	ORIENTACION	LOCALIDAD	PROVINCIA	CODIGO-POSTAL	BARRIO	DISTRITO	COORDENADA-X	COORDENADA-Y	LATITUD	LONGITUD	TELEFONO	FAX	EMAIL	TIPO	
11353987	Instalaci�n Deportiva  B�sica Embalse de San Juan			Pista de baloncesto. Pista de f�tbol sala.	Bus: 58 , 63 , 145Renfe: Santa Eugenia		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD	EMBALSE DE SAN JUAN	CALLE	V	1					MADRID	MADRID	28051	ENSANCHE DE VALLECAS	VILLA DE VALLECAS	449213	4468179	40.36264285659688	-3.5981484314802064				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
6344681	Instalaci�n Deportiva B�sica Alto del Retiro			Pista polideportiva (marcajes de f�tbol sala y balonmano) Pista baloncesto	Metro: Las Suertes		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD	ALTO DEL RETIRO	CALLE	V	13				c/v calle Antonio Gades	MADRID	MADRID	28051	CASCO H.VALLECAS	VILLA DE VALLECAS	450057	4468715	40.36751469466709	-3.588264644913803				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
11350944	Instalaci�n Deportiva B�sica Avenida de Cerro Milano			Pista de minibaloncesto. Pista de minif�tbol	Metro: CongostoBus: 142		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD	CERRO MILANO	AVENIDA	V	1					MADRID	MADRID	28051	CASCO H.VALLECAS	VILLA DE VALLECAS	447502	4468855	40.36861899124304	-3.618356801446381				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
11350990	Instalaci�n Deportiva B�sica Avenida de las Suertes			Pista de baloncesto. Pista polideportiva (marcajes de f�tbol sala y voleibol).	Metro: Las Suertes		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD	avenida de las Suertes	AVENIDA	V						MADRID	MADRID	28051	ENSANCHE DE VALLECAS	VILLA DE VALLECAS	448037	4469037	40.370297266524084	-3.6120673755658				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
11350948	Instalaci�n Deportiva B�sica Avenida del Ensanche de Vallecas			Pista de minibaloncesto. Pista de minif�tbol. Pista de skate.	Metro: Las Suertes		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD	ENSANCHE DE VALLECAS	AVENIDA	V	11					MADRID	MADRID	28051	ENSANCHE DE VALLECAS	VILLA DE VALLECAS	448037	4469037	40.370297266524084	-3.6120673755658				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
11350970	Instalaci�n Deportiva B�sica Avenida del Mediterr�neo			Mini pista de patinaje			0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e52d112cde58710VgnVCM1000001d4a900aRCRD	LUIS MITJANS	INST. DEPORTIVA BASICA	T						MADRID	MADRID			DISTRITO	443104	4472511	40.40126476374574	-3.670479840720475				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4540130	Instalaci�n Deportiva B�sica Camino de la Suerte			Campo de f�tbol 11 de c�sped artificial.  Campo de f�tbol 7 de tierra (pr�ximamente de c�sped artificial).	Metro: CongostoBus: 54 , 142.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD	SUERTE	CAMINO	V	25					MADRID	MADRID	28031	CASCO H.VALLECAS	VILLA DE VALLECAS	447596	4469654	40.375813783817236	-3.617327043456161				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4540101	Instalaci�n Deportiva B�sica Circuito de Automodelismo			Circuito de automodelismo	Metro: CongostoBus: 54 , 142		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD	NAVAMURES	CALLE	V	2					MADRID	MADRID	28031	ENSANCHE DE VALLECAS	VILLA DE VALLECAS	446796	4469329	40.3728517892704	-3.6267051095385274				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4538536	Instalaci�n Deportiva B�sica Colonia Vilda			2 Pistas polideportivas, (marcajes de f�tbol sala y balonmano y 2 baloncestos transversales).	Bus: 58 , 63 , 145Renfe: Santa Eugenia		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD	PUENTELARRA	CALLE	V	1				c/v Avda. Sta. Eugenia	MADRID	MADRID	28031	SANTA EUGENIA	VILLA DE VALLECAS	448172	4470286	40.38154336396018	-3.6105817910016826				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
11352297	Instalaci�n Deportiva B�sica Eduardo Chillida			Pista de minibaloncesto y minif�tbol.	Bus: 58 , 63 , 145Renfe: Santa Eugenia		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD	EDUARDO CHILLIDA	CALLE	V	1					MADRID	MADRID	28051	ENSANCHE DE VALLECAS	VILLA DE VALLECAS	450323	4468214	40.36302244550467	-3.585074019427532				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
10927053	Instalaci�n Deportiva B�sica Jardines de Jos� Luis Sampedro (junto al Centro Cultural Galileo)			Circuito de bicicletas	Metro: Quevedo, Moncloa Bus: 2, 12, 202		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6de45fd3c7e9610VgnVCM1000001d4a900aRCRD	JOSE LUIS SAMPEDRO	JARDIN	T						MADRID	MADRID			DISTRITO	439710	4476155	40.433860781133276	-3.7108172940093223					 
10925321	Instalaci�n Deportiva B�sica Jardines del Teniente Alcalde			Pista polideportiva Pista de hockey �rea multideportiva infantil	Metro: Islas Filipinas, Canal Bus: 2, 12, 202		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59182c579bdd9610VgnVCM2000001f4a900aRCRD	Jardines del Teniente Alcalde	CALLE	V	49					MADRID	MADRID	28003	VALLEHERMOSO	CHAMBERI	440261	4476761	40.43935627177327	-3.704371546221416					 
4538305	Instalaci�n Deportiva B�sica La Uni�n			Unidades deportivas cubiertas:  4 Pistas de p�del.    Unidades deportivas al aire libre:  Campo de f�tbol 11 de c�sped artificial.	Bus: 58 , 63 , 145		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=773aaae91fa41110VgnVCM1000000b205a0aRCRD	ENRIQUE GARCIA ALVAREZ	CALLE	V	58				c/v Diego Olivera Victorio, 1	MADRID	MADRID	28031	SANTA EUGENIA	VILLA DE VALLECAS	447810	4470500	40.383448627578446	-3.6148637823176353				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4538164	Instalaci�n Deportiva B�sica Nuestra Se�ora de la Torre			2 Campos de F�tbol (c�sped artificial)	Metro: Villa de VallecasBus: 54 , 58 , 142		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de89a56418a41110VgnVCM1000000b205a0aRCRD	PUERTO DE REINOSA	TRAVESIA	V	2					MADRID	MADRID	28031	CASCO H.VALLECAS	VILLA DE VALLECAS	447705	4469952	40.37850528372228	-3.6160557738839376				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4539403	Instalaci�n Deportiva B�sica P.A.R. Castrillo de Aza			Pista de baloncesto	Bus: 58 , 63 , 145Renfe: Santa Eugenia		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a554a9b438051110VgnVCM1000000b205a0aRCRD	SANTA EUGENIA	AVENIDA	V	1					MADRID	MADRID	28031	SANTA EUGENIA	VILLA DE VALLECAS	448343	4470808	40.38626820789469	-3.6086007213101885				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
