num_barrio;nombre_barrio;longitud_min;longitud_max;latitud_min;latitud_max;;;
76;El Plantío;40,466337;40,471496;-3,833790;-3,808470;;;
68;Campamento;40,377781;40,392033;-3,818986;-3,788258;;;
47;El Pardo;40,514250;40,525164;-3,777227;-3,774744;;;
65;Cuatro Vientos;40,362726;40,373208;-3,797585;-3,767203;;;
78;Valdemarín;40,464598;40,472433;-3,789254;-3,767110;;;
72;Aravaca;40,445522;40,460217;-3,787834;-3,765518;;;
66;Águilas;40,376491;40,387943;-3,780737;-3,764641;;;
16;Pau de Carabanchel;40,359710;40,365164;-3,762925;-3,753558;;;
69;Lucero;40,398431;40,406078;-3,756658;-3,744899;;;
67;Aluche;40,387296;40,394912;-3,763576;-3,744608;;;
74;Casa de Campo;40,411476;40,437798;-3,769030;-3,742829;;;
13;Buena Vista;40,359677;40,372593;-3,761175;-3,742701;;;
18;Vista Alegre;40,380811;40,387611;-3,752093;-3,739862;;;
49;Fuentelarreina;40,475327;40,485220;-3,746806;-3,737502;;;
17;Puerta Bonita;40,373884;40,382809;-3,746833;-3,736104;;;
71;Los Cármenes;40,397710;40,403919;-3,743195;-3,733153;;;
75;Ciudad Universitaria;40,444491;40,469191;-3,751044;-3,726173;;;
70;Puerta del Ángel;40,406629;40,413872;-3,739333;-3,723780;;;
19;San Isidro;40,393796;40,401215;-3,733276;-3,723276;;;
48;Arroyo del Fresno;40,487369;40,496516;-3,730546;-3,720984;;;
12;Abrantes;40,374224;40,383503;-3,730218;-3,719649;;;
53;Peñagrande;40,473434;40,485349;-3,735116;-3,718550;;;
73;Argüelles;40,426363;40,432826;-3,719071;-3,717924;;;
3;Imperial;40,401399;40,409884;-3,721481;-3,717504;;;
15;Opañel;40,386266;40,392901;-3,725967;-3,716183;;;
77;Valdezarza;40,462080;40,468806;-3,719159;-3,713708;;;
122;Zofío;40,374476;40,385100;-3,718487;-3,712050;;;
34;Gaztambide;40,431937;40,438895;-3,716770;-3,711921;;;
14;Comillas;40,391326;40,396595;-3,714959;-3,709858;;;
24;Palacio;40,411273;40,420337;-3,717652;-3,709786;;;
119;Orcasitas;40,365154;40,371431;-3,719254;-3,705907;;;
