A�o Emisi�n	Cod Distrito Veh�culo	Distrito Veh�culo	Cod Barrio Veh�culo	Barrio Veh�culo	Numero veh�culos Vivienda	N�mero Viviendas
2020	0		0		1	105503
2020	0		0		2	9307
2020	0		0		3	2074
2020	0		0		4	791
2020	0		0		5	360
2020	0		0		6	216
2020	0		0		7	138
2020	0		0		8	93
2020	0		0		9	52
2020	0		0		10	55
2020	0		0		11	48
2020	0		0		12	23
2020	0		0		13	21
2020	0		0		14	27
2020	0		0		15	16
2020	0		0		16	16
2020	0		0		17	11
2020	0		0		18	16
2020	0		0		19	6
2020	0		0		20	6
2020	0		0		21	5
2020	0		0		22	6
2020	0		0		23	6
2020	0		0		24	7
2020	0		0		25	8
2020	0		0		26	8
2020	0		0		27	5
2020	0		0		28	6
2020	0		0		29	5
2020	0		0		30	4
2020	0		0		31	9
2020	0		0		32	8
2020	0		0		33	2
2020	0		0		34	3
2020	0		0		35	4
2020	0		0		36	2
2020	0		0		37	2
2020	0		0		38	3
2020	0		0		39	3
2020	0		0		40	1
2020	0		0		41	1
2020	0		0		42	1
2020	0		0		44	1
2020	0		0		45	1
2020	0		0		47	3
2020	0		0		49	1
2020	0		0		50	2
2020	0		0		52	1
2020	0		0		54	1
2020	0		0		61	3
2020	0		0		62	5
2020	0		0		63	2
2020	0		0		64	1
2020	0		0		65	1
2020	0		0		66	1
2020	0		0		72	1
2020	0		0		73	1
2020	0		0		75	1
2020	0		0		78	1
2020	0		0		82	1
2020	0		0		84	1
2020	0		0		89	1
2020	0		0		93	1
2020	0		0		96	1
2020	0		0		99	1
2020	0		0		100	1
2020	0		0		104	3
2020	0		0		113	2
2020	0		0		126	1
2020	0		0		140	1
2020	0		0		148	1
2020	0		0		153	1
2020	0		0		234	1
2020	0		0		250	1
2020	0		0		271	1
2020	0		0		330	1
2020	0		0		494	1
2020	0		0		810	1
2020	0		0		1128	1
2020	0		0		5760	1
2020	1	CENTRO	0		1	26
2020	1	CENTRO	0		2	1
2020	1	CENTRO	0		3	1
2020	1	CENTRO	0		17	1
2020	1	CENTRO	0		32	1
2020	1	CENTRO	1	PALACIO	1	6142
2020	1	CENTRO	1	PALACIO	2	1160
2020	1	CENTRO	1	PALACIO	3	291
2020	1	CENTRO	1	PALACIO	4	119
2020	1	CENTRO	1	PALACIO	5	46
2020	1	CENTRO	1	PALACIO	6	32
2020	1	CENTRO	1	PALACIO	7	15
2020	1	CENTRO	1	PALACIO	8	10
2020	1	CENTRO	1	PALACIO	9	7
2020	1	CENTRO	1	PALACIO	10	3
2020	1	CENTRO	1	PALACIO	11	4
2020	1	CENTRO	1	PALACIO	12	2
2020	1	CENTRO	1	PALACIO	13	1
2020	1	CENTRO	1	PALACIO	14	2
2020	1	CENTRO	1	PALACIO	15	1
2020	1	CENTRO	1	PALACIO	16	1
2020	1	CENTRO	1	PALACIO	17	1
2020	1	CENTRO	1	PALACIO	19	2
2020	1	CENTRO	1	PALACIO	21	2
2020	1	CENTRO	1	PALACIO	22	1
2020	1	CENTRO	1	PALACIO	23	2
2020	1	CENTRO	1	PALACIO	26	1
2020	1	CENTRO	1	PALACIO	28	1
2020	1	CENTRO	1	PALACIO	29	1
2020	1	CENTRO	1	PALACIO	34	1
2020	1	CENTRO	1	PALACIO	40	1
2020	1	CENTRO	1	PALACIO	41	1
2020	1	CENTRO	1	PALACIO	46	1
2020	1	CENTRO	1	PALACIO	49	1
2020	1	CENTRO	1	PALACIO	53	1
2020	1	CENTRO	1	PALACIO	64	2
2020	1	CENTRO	1	PALACIO	82	1
2020	1	CENTRO	1	PALACIO	173	1
2020	1	CENTRO	2	EMBAJADORES	1	9718
2020	1	CENTRO	2	EMBAJADORES	2	1666
2020	1	CENTRO	2	EMBAJADORES	3	375
2020	1	CENTRO	2	EMBAJADORES	4	139
2020	1	CENTRO	2	EMBAJADORES	5	65
2020	1	CENTRO	2	EMBAJADORES	6	32
2020	1	CENTRO	2	EMBAJADORES	7	14
2020	1	CENTRO	2	EMBAJADORES	8	13
2020	1	CENTRO	2	EMBAJADORES	9	6
2020	1	CENTRO	2	EMBAJADORES	10	1
2020	1	CENTRO	2	EMBAJADORES	11	3
2020	1	CENTRO	2	EMBAJADORES	12	2
2020	1	CENTRO	2	EMBAJADORES	13	5
2020	1	CENTRO	2	EMBAJADORES	15	4
2020	1	CENTRO	2	EMBAJADORES	16	1
2020	1	CENTRO	2	EMBAJADORES	17	1
2020	1	CENTRO	2	EMBAJADORES	24	1
2020	1	CENTRO	2	EMBAJADORES	31	1
2020	1	CENTRO	2	EMBAJADORES	35	1
2020	1	CENTRO	2	EMBAJADORES	116	1
2020	1	CENTRO	3	CORTES	1	3025
2020	1	CENTRO	3	CORTES	2	592
2020	1	CENTRO	3	CORTES	3	140
2020	1	CENTRO	3	CORTES	4	57
2020	1	CENTRO	3	CORTES	5	29
2020	1	CENTRO	3	CORTES	6	16
2020	1	CENTRO	3	CORTES	7	9
2020	1	CENTRO	3	CORTES	8	10
2020	1	CENTRO	3	CORTES	9	6
2020	1	CENTRO	3	CORTES	10	3
2020	1	CENTRO	3	CORTES	11	2
2020	1	CENTRO	3	CORTES	13	2
2020	1	CENTRO	3	CORTES	14	1
2020	1	CENTRO	3	CORTES	15	1
2020	1	CENTRO	3	CORTES	16	1
2020	1	CENTRO	3	CORTES	17	2
2020	1	CENTRO	3	CORTES	18	1
